case_id,dimension,condition_number,delta_contract,rho_contract,cheap_cost_exact_units,initial_residual,candidate_residual,candidate_contract_satisfied,baseline_lower_calls,baseline_upper_calls,post_upper_calls,gate_accept,guaranteed_saved_calls,guaranteed_cost_slack,baseline_actual_calls,post_actual_calls,gated_actual_calls,gated_total_cost,gated_cost_ratio,always_total_cost,always_cost_ratio,posthoc_descent_accept,posthoc_total_cost,posthoc_cost_ratio
77,64,1.3086059667894745,0.008928979838044198,0.009009424810529795,1.0,0.9999999999999999,0.006461536300619343,True,21,30,20,True,1,0.0,28,17,17,18.0,0.6428571428571429,18.0,0.6428571428571429,True,18.0,0.6428571428571429
78,64,1.4136787432048803,0.003925444434587037,0.003940914274593425,1.0,0.9999999999999999,0.0024322157439102634,True,21,33,20,True,1,0.0,30,16,16,17.0,0.5666666666666667,17.0,0.5666666666666667,True,17.0,0.5666666666666667
79,64,1.8795485763388726,0.0016887140160909493,0.0016915705950640413,0.5,0.9999999999999998,0.0007981775589477376,True,21,46,25,False,-4,-4.5,42,18,42,42,1.0,18.5,0.44047619047619047,True,18.5,0.44047619047619047
80,64,1.671267176294574,0.027087477875192906,0.02784163761818462,0.5,0.9999999999999999,0.01770890561589322,True,21,40,30,False,-9,-9.5,37,26,37,37,1.0,26.5,0.7162162162162162,True,26.5,0.7162162162162162
81,64,2.2603315935287775,0.0127488455134614,0.012913477442416336,2.0,1.0,0.007992827853939056,True,21,57,39,False,-18,-20.0,50,32,50,50,1.0,34.0,0.68,True,34.0,0.68
82,64,2.825109290180533,0.09581908542513004,0.10597335542100278,0.25,1.0,0.04041675151322761,True,21,73,61,False,-40,-40.25,61,48,61,61,1.0,48.25,0.7909836065573771,True,48.25,0.7909836065573771
83,64,1.4140274102480066,0.17742569317978896,0.2156956419726451,0.25,1.0000000000000002,0.1007912693015641,True,21,33,29,False,-8,-8.25,30,25,30,30,1.0,25.25,0.8416666666666667,True,25.25,0.8416666666666667
84,64,2.8840612447985703,0.21861569708593045,0.2797799959259894,0.5,1.0,0.11864360467538641,True,21,75,68,False,-47,-47.5,62,52,62,62,1.0,52.5,0.8467741935483871,True,52.5,0.8467741935483871
85,64,1.646038794744642,0.014895414549126969,0.015120642791759495,0.5,1.0,0.009151379316190532,True,21,40,28,False,-7,-7.5,36,22,36,36,1.0,22.5,0.625,True,22.5,0.625
86,64,1.1659159199107263,0.031429445585571696,0.032449309389312474,4.0,1.0,0.01829176808997836,True,21,26,20,False,1,-3.0,24,17,24,24,1.0,21.0,0.875,True,21.0,0.875
87,64,1.958121639991286,0.012331243828179968,0.01248520189701613,0.5,1.0,0.0071619785929875205,True,21,48,33,False,-12,-12.5,43,25,43,43,1.0,25.5,0.5930232558139535,True,25.5,0.5930232558139535
88,64,1.068958120797383,0.10347022584277026,0.11541192364752859,2.0,1.0,0.052924543794411055,True,21,23,20,False,1,-1.0,22,18,22,22,1.0,20.0,0.9090909090909091,True,20.0,0.9090909090909091
89,64,2.8026716830045917,0.005611986686292523,0.005643658824477467,1.0,1.0000000000000002,0.0031282965967736596,True,21,72,45,False,-24,-25.0,62,35,62,62,1.0,36.0,0.5806451612903226,True,36.0,0.5806451612903226
90,64,2.956674923965792,0.015793159556590303,0.016046585847213874,0.5,1.0,0.00916133922640293,True,21,77,54,False,-33,-33.5,68,43,68,68,1.0,43.5,0.6397058823529411,True,43.5,0.6397058823529411
91,64,2.245608911486768,0.1712510064926724,0.2066379661807194,1.0,1.0,0.11407637112829902,True,21,57,50,False,-29,-30.0,49,39,49,49,1.0,40.0,0.8163265306122449,True,40.0,0.8163265306122449
92,64,1.3276201252507103,0.5267624816846866,1.1131038036880883,0.25,1.0,0.4295107641899663,True,21,30,31,False,-10,-10.25,28,24,28,28,1.0,24.25,0.8660714285714286,True,24.25,0.8660714285714286
93,64,1.4871758291458514,0.02011588737150313,0.020528843270601796,2.0,0.9999999999999999,0.010060353162848017,True,21,35,25,False,-4,-6.0,32,20,32,32,1.0,22.0,0.6875,True,22.0,0.6875
94,64,1.7534723161338772,0.5141164470340539,1.0581062970659691,2.0,1.0,0.4421642047295015,True,21,43,43,False,-22,-24.0,37,33,37,37,1.0,35.0,0.9459459459459459,True,35.0,0.9459459459459459
95,64,1.5200962307786836,0.24972620464166284,0.33284676365698135,2.0,1.0,0.1707524470935216,True,21,36,33,False,-12,-14.0,33,28,33,33,1.0,30.0,0.9090909090909091,True,30.0,0.9090909090909091
96,64,1.1497084966728328,0.09124519910404359,0.10040684133286937,0.25,0.9999999999999999,0.05724516934575081,True,21,25,21,False,0,-0.25,24,19,24,24,1.0,19.25,0.8020833333333334,True,19.25,0.8020833333333334
97,64,1.4603339958267638,0.12555131217356105,0.1435776780517973,1.0,1.0,0.07803678472951223,True,21,34,30,False,-9,-10.0,32,25,32,32,1.0,26.0,0.8125,True,26.0,0.8125
98,64,2.8934349383372213,0.19069280087796167,0.23562474309487322,4.0,0.9999999999999999,0.10889685082987749,True,21,75,67,False,-46,-50.0,62,48,62,62,1.0,52.0,0.8387096774193549,True,52.0,0.8387096774193549
99,64,1.0185353237712054,0.18312601787537228,0.22417903113902013,4.0,1.0,0.1136482247625989,True,21,22,19,False,2,-2.0,21,18,21,21,1.0,22.0,1.0476190476190477,True,22.0,1.0476190476190477
100,64,1.768091359320162,0.14678340940717902,0.17203534369296883,2.0,1.0000000000000002,0.0871330292009334,True,21,43,38,False,-17,-19.0,38,31,38,38,1.0,33.0,0.868421052631579,True,33.0,0.868421052631579
101,64,2.0876338773272893,0.002143781406168286,0.002148387078440299,0.5,1.0,0.0014488486036925339,True,21,52,29,False,-8,-8.5,47,23,47,47,1.0,23.5,0.5,True,23.5,0.5
102,64,1.9550072371168885,0.013272829930292364,0.01345136764537932,0.25,0.9999999999999999,0.007698193956711057,True,21,48,33,False,-12,-12.25,42,27,42,42,1.0,27.25,0.6488095238095238,True,27.25,0.6488095238095238
103,64,1.9868271957793218,0.015077011396641651,0.015307807383012932,2.0,1.0,0.008248717544064515,True,21,49,35,False,-14,-16.0,44,26,44,44,1.0,28.0,0.6363636363636364,True,28.0,0.6363636363636364
104,64,2.1005580037431466,0.02336760376249437,0.023926713728234385,2.0,1.0,0.014224075999619739,True,21,53,38,False,-17,-19.0,46,31,46,46,1.0,33.0,0.717391304347826,True,33.0,0.717391304347826
105,64,1.1911284589561948,0.20646563460082418,0.2601848686124194,1.0,1.0,0.13392344224416006,True,21,27,24,False,-3,-4.0,25,21,25,25,1.0,22.0,0.88,True,22.0,0.88
106,64,1.1432463164097104,0.5749535270983884,1.3526839151809098,4.0,1.0,0.5139655902349293,True,21,25,26,False,-5,-9.0,24,22,24,24,1.0,26.0,1.0833333333333333,True,26.0,1.0833333333333333
